author,desc,plays,likes,shares,comments,link,song
Mariana Campos ✨,#duet with @betodegante  I had to 😂 #latinasbelike #fyp #fypage #fypduet,1200000,82400,2121,222,https://v19.tiktokcdn.com/b68e8d0889de9cfd10ea90e77be9a879/5eec4361/video/tos/useast2a/tos-useast2a-ve-0068c001/feb5047f09ce480b8f10878eb519df23/?a=1233&br=1372&bt=686&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ampsc2s7c3J2dDMzaDczM0ApaTw7NmU6OTw0NzU0aDs4NGdrcy8tMjM1MWxfLS01MTZzczAzYWMzNDMtNjUtLWI1MTA6Yw%3D%3D&vl=&vr=,original sound
daniteru,First fast food in a month 🤤 #jollibee #filipino #masarap #foodie #hangry #promplaylist #SpaDeOlay #hawaii #asian,152500,8404,79,88,https://v19.tiktokcdn.com/782b402bda956d66c827faf1746ad48e/5eec4360/video/tos/useast2a/tos-useast2a-ve-0068c003/7f6e5dad89e24178b7064ffac837a24c/?a=1233&br=2652&bt=1326&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3h3Z3F3OmpndDMzaTczM0ApNDo1Z2U8NDw5N2RmNjtlM2dhNW5rL2owbGZfLS0zMTZzczVfY2FgNGJhMDAvMF41MWI6Yw%3D%3D&vl=&vr=,original sound
colorfulzone,😁😁#itsaremix#parrotlove#xyzcba#foryou#tik_tok#PlayWithLife,115000,15000,336,76,https://v19.tiktokcdn.com/1b210807af56e23dfcbdfbf7cd25d982/5eec4363/video/tos/useast2a/tos-useast2a-ve-0068c002/1eeb7fda9ddf46189e7beea8a56a0ad1/?a=1233&br=2286&bt=1143&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MztrdHNucjRxdDMzZzczM0ApO2dkNzQ8PGQzNztlZTZlNWdjcnJqMi4ucnBfLS02MTZzczRiMy1gMS1iLl5jXy9jYGI6Yw%3D%3D&vl=&vr=,Swish Swish
Black Arrow ,Food vs Cash with @baysolive #food #money #fyp,2500000,314600,1657,1413,https://v19.tiktokcdn.com/e752d4c4bde9bb6174c310f6c62835f3/5eec4366/video/tos/useast2a/tos-useast2a-ve-0068c002/6b847397e40a4866a724cc0468550f0f/?a=1233&br=3966&bt=1983&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajRoaGpnZDZ2dTMzOzczM0ApZjkzaTM4ZTs8Nzw5aDc6ZmdvM2FibXBeaTNfLS1iMTZzczAvL2JeXy5hNC1hMjVhMjA6Yw%3D%3D&vl=&vr=,original sound
Atlantamadedj,impossible triangle drawing😱😱🚨#fyp #foryou #foryoupage #viral #satisfying #drawing,101500,3396,314,39,https://v19.tiktokcdn.com/1ed75425625d1c7b3dbc984e94899c91/5eec4360/video/tos/useast2a/tos-useast2a-pve-0068/ed4205ea42884f52aaebf34b5baacb82/?a=1233&br=2224&bt=1112&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M3F2cmpoaGdydTMzNjczM0ApZWY6ZGc6NmRkN2VlMzdnaGctampnZzBlNC9fLS0yMTZzczQ2NTYuNDM0NmNiMV9hYzI6Yw%3D%3D&vl=&vr=,original sound
Rahul Madhok,,2300000,215700,2820,1723,https://v19.tiktokcdn.com/413847bdc9c6074e5984bb374649dbfc/5eec436b/video/tos/useast2a/tos-useast2a-ve-0068c001/f40c2abafa274834832f0775d99ea329/?a=1233&br=3236&bt=1618&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MzM8bDxqOWpndDMzNjczM0ApOTw2NztnZjwzNztoNjQ3PGc0YW1rZV5mMHNfLS1eMTZzczA2LzU2LTAzYi4tXmA2MGM6Yw%3D%3D&vl=&vr=,original sound
Oscar Arrieta,#duet with @brendancranford1 Anyway... who’s tryna run squads 🎮 #fyp #challenge #gaming,345100,23200,132,331,https://v19.tiktokcdn.com/796860f6d538c11563092bf9857602e5/5eec4362/video/tos/useast2a/tos-useast2a-ve-0068c002/accfa4cc8cd24e529dfd28432af3f4d4/?a=1233&br=1906&bt=953&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=am9wNmhqOWxldTMzOzczM0ApaTw2Ojc5ZmVnNzhlNmk6ZGcuZnBzZV5ecDNfLS01MTZzczJgXjZiXzAuYzIzYC4tXjE6Yw%3D%3D&vl=&vr=,original sound
Khloë Perez-Mathis,Wait😊 #witchesoftiktok #catgirl #Bastet #spell,2300000,366800,1159,4894,https://v19.tiktokcdn.com/86384bc0ce8767231a2f7aabec0009f4/5eec4365/video/tos/useast2a/tos-useast2a-pve-0068/e970cdeb82fd41f5b7a06e0244c5a7db/?a=1233&br=2628&bt=1314&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=M2xlM3Fxd288dTMzNjczM0ApN2VlO2k3ZTtlNzRmPDM0M2czby1objRfcy9fLS1eMTZzcy5eYTIyX2IwYGNhNTItYTY6Yw%3D%3D&vl=&vr=,Ur Not A Witch
Meesah Eau's,This was so much fun! 🙌🏻 #theresonlyonething #todo #threewords #foryou #iloveyou #forgod #loveforgod #formyhusband #godisgood #godslove #godlove,830800,80200,774,300,https://v19.tiktokcdn.com/34a3b12dfaaec5c665e815f5ef6cc825/5eec4361/video/tos/useast2a/tos-useast2a-ve-0068c003/d9a551224bff4f2981b2ccb9fb5d7be1/?a=1233&br=1926&bt=963&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=ajhwZjg8dGU7dDMzNjczM0ApOzVoNGhnOjxlN2k7NzU8ZGcvZW1rZW5oNHBfLS1eMTZzczYyMmA2MTM2NF82LzY2M146Yw%3D%3D&vl=&vr=,i love you
Paris Angel,#duet with @collinsrandom,446400,81900,335,119,https://v19.tiktokcdn.com/cada8448df42b68c253a807ec90e0eae/5eec4377/video/tos/useast2a/tos-useast2a-pve-0068/2f5113adb47b46cc88dbb40be4195819/?a=1233&br=1558&bt=779&cr=0&cs=0&dr=0&ds=3&er=&l=20200618224718010189074016198CA4E2&lr=tiktok_m&mime_type=video_mp4&qs=0&rc=MzdvaTNrbzM3dDMzNDczM0ApNjVkaWYzODwzN2ZlZjs2OWdrNnJucHFkaWxfLS1jMTZzczM0NS5jL2I0Yy0uYV4wNTQ6Yw%3D%3D&vl=&vr=,Corona Life story
